,imdb_title_id,weighted_average_vote,total_votes
880,tt0020866,5.9,101
881,tt0020869,5.2,151
882,tt0020873,6.2,131
883,tt0020875,6.9,439
884,tt0020876,6.7,947
885,tt0020890,6.5,159
886,tt0020891,6.1,1249
887,tt0020894,6.5,200
888,tt0020896,6.5,327
889,tt0020900,6.1,191
890,tt0020902,5.6,814
891,tt0020919,5.3,805
892,tt0020924,6.0,157
893,tt0020926,4.4,122
894,tt0020929,5.5,323
895,tt0020938,5.4,347
896,tt0020945,6.1,303
897,tt0020949,5.5,121
898,tt0020959,5.5,146
899,tt0020960,7.4,4748
900,tt0020966,6.5,229
901,tt0020980,6.4,480
902,tt0020985,6.4,352
903,tt0020987,6.1,299
904,tt0021001,5.4,113
905,tt0021013,6.7,229
906,tt0021016,5.4,630
907,tt0021025,6.7,1039
908,tt0021040,6.7,1038
909,tt0021042,6.0,151
910,tt0021044,6.6,145
911,tt0021048,5.3,129
912,tt0021053,6.5,279
913,tt0021060,6.4,416
914,tt0021061,5.5,114
915,tt0021069,5.6,128
916,tt0021070,4.6,132
917,tt0021074,6.8,399
918,tt0021079,7.3,11746
919,tt0021087,6.1,371
920,tt0021090,5.3,124
921,tt0021092,5.6,227
922,tt0021094,5.3,142
923,tt0021100,5.5,162
924,tt0021102,6.2,112
925,tt0021106,6.5,838
926,tt0021110,5.7,164
927,tt0021121,6.2,191
928,tt0021128,6.1,654
929,tt0021132,5.7,153
930,tt0021133,5.1,233
931,tt0021134,5.0,196
932,tt0021140,5.8,218
933,tt0021148,6.8,1547
934,tt0021149,5.7,398
935,tt0021152,4.7,422
936,tt0021153,6.8,1109
937,tt0021156,7.1,5443
938,tt0021165,6.4,5651
939,tt0021178,6.1,138
940,tt0021189,6.1,990
941,tt0021191,5.3,241
942,tt0021197,6.2,386
943,tt0021216,5.8,117
944,tt0021217,5.8,378
945,tt0021223,6.1,588
946,tt0021224,6.0,138
947,tt0021225,6.7,454
948,tt0021228,6.2,606
949,tt0021232,5.9,249
950,tt0021239,5.3,195
951,tt0021240,6.1,239
952,tt0021247,7.2,157
953,tt0021263,6.1,180
954,tt0021268,7.1,188
955,tt0021273,6.9,515
956,tt0021276,5.7,115
957,tt0021280,5.0,103
958,tt0021281,6.5,762
959,tt0021282,5.7,342
960,tt0021283,6.4,381
961,tt0021287,5.6,340
962,tt0021292,5.6,486
963,tt0021294,5.8,592
964,tt0021295,5.0,217
965,tt0021297,6.7,154
966,tt0021303,5.5,108
967,tt0021304,5.7,157
968,tt0021307,5.9,116
969,tt0021309,7.8,1135
970,tt0021310,5.9,680
971,tt0021322,6.3,293
972,tt0021324,5.2,208
